x,y,z,yaw
149.0,-241.0,0,83.8965417508
149.165094484,-239.456053984,0,84.3695974099
149.316797136,-237.917278601,0,84.8414432096
149.45524988,-236.383649706,0,85.3119651819
149.58059464,-234.855143156,0,85.7810498038
149.692973343,-233.331734807,0,86.2485841078
149.792527912,-231.813400517,0,86.7144557896
149.879400273,-230.30011614,0,87.1785533135
149.953732351,-228.791857535,0,87.640766015
150.01566607,-227.288600557,0,88.1009842006
150.065343354,-225.790321063,0,88.5590992442
150.10290613,-224.296994909,0,89.0150036799
150.128496322,-222.808597951,0,89.4685912914
150.142255854,-221.325106047,0,89.9197571974
150.144326652,-219.846495052,0,90.3683979325
150.13485064,-218.372740824,0,90.8144115241
150.113969743,-216.903819218,0,91.257697565
150.081825886,-215.439706091,0,91.6981572811
150.038560994,-213.9803773,0,92.1356935946
149.984316992,-212.5258087,0,92.5702111823
149.919235804,-211.075976149,0,93.0016165293
149.843459356,-209.630855503,0,93.429817977
149.757129572,-208.190422618,0,93.8547257676
149.660388377,-206.754653351,0,94.2762520818
149.553377696,-205.323523558,0,94.6943110732
149.436239454,-203.897009096,0,95.1088188965
149.309115576,-202.475085821,0,95.5196937318
149.172147986,-201.057729589,0,95.9268558031
149.025478609,-199.644916258,0,96.3302273927
148.869249371,-198.236621684,0,96.7297328505
148.703602195,-196.832821722,0,97.125298599
148.528679008,-195.43349223,0,97.5168531336
148.344621733,-194.038609064,0,97.9043270184
148.151572296,-192.64814808,0,98.2876528778
147.949672621,-191.262085135,0,98.6667653844
147.739064633,-189.880396086,0,99.0416012422
147.519890257,-188.503056788,0,99.4120991668
147.292291419,-187.130043099,0,99.778199861
147.056410042,-185.761330874,0,100.139845988
146.812388052,-184.39689597,0,100.496982139
146.560367373,-183.036714245,0,100.849554803
146.30048993,-181.680761553,0,101.197512325
146.032897649,-180.329013752,0,101.540804871
145.757732454,-178.981446698,0,101.879384382
145.475136269,-177.638036247,0,102.213204531
145.185251021,-176.298758257,0,102.542220678
144.888218632,-174.963588583,0,102.866389815
144.58418103,-173.632503082,0,103.185670522
144.273280137,-172.30547761,0,103.500022906
143.95565788,-170.982488024,0,103.809408556
143.631456182,-169.66351018,0,104.113790479
143.300816969,-168.348519935,0,104.413133047
142.963882166,-167.037493146,0,104.707401935
142.620793697,-165.730405668,0,104.996564065
142.271693488,-164.427233358,0,105.280587547
141.916723463,-163.127952072,0,105.55944161
141.556025546,-161.832537668,0,105.833096549
141.189741664,-160.540966002,0,106.101523658
140.81801374,-159.253212929,0,106.364695168
140.4409837,-157.969254307,0,106.622584184
140.058793468,-156.689065992,0,106.875164624
139.67158497,-155.41262384,0,107.122411151
139.279500129,-154.139903708,0,107.364299115
138.882680872,-152.870881452,0,107.600804486
138.481269122,-151.605532929,0,107.831903793
138.075406805,-150.343833996,0,108.05757406
137.665235845,-149.085760508,0,108.277792743
137.250898167,-147.831288322,0,108.492537669
136.832535697,-146.580393295,0,108.701786976
136.410290359,-145.333051283,0,108.905519045
135.984304077,-144.089238142,0,109.103712448
135.554718777,-142.84892973,0,109.296345879
135.121676384,-141.612101902,0,109.4833981
134.685318822,-140.378730515,0,109.664847881
134.245788017,-139.148791425,0,109.84067394
133.803225892,-137.922260489,0,110.010854885
133.357774373,-136.699113564,0,110.175369158
132.909575385,-135.479326505,0,110.334194977
132.458770853,-134.26287517,0,110.487310282
132.005502701,-133.049735414,0,110.634692681
131.549912854,-131.839883095,0,110.776319389
131.092143238,-130.633294068,0,110.912167185
130.632335776,-129.42994419,0,111.042212349
130.170632394,-128.229809318,0,111.166430618
129.707175017,-127.032865308,0,111.284797128
129.24210557,-125.839088017,0,111.39728637
128.775565977,-124.6484533,0,111.503872135
128.307698163,-123.460937015,0,111.604527471
127.838644053,-122.276515017,0,111.699224628
127.368545572,-121.095163165,0,111.787935018
126.897544644,-119.916857312,0,111.870629163
126.425783196,-118.741573318,0,111.947276655
125.95340315,-117.569287037,0,112.017846106
125.480546433,-116.399974326,0,112.082305109
125.00735497,-115.233611042,0,112.140620193
124.533970684,-114.070173041,0,112.192756784
124.060535501,-112.909636179,0,112.238679159
123.587191345,-111.751976314,0,112.278350413
123.114080142,-110.597169301,0,112.311732416
122.641343817,-109.445190997,0,112.338785778
122.169124293,-108.296017258,0,112.35946981
121.697563497,-107.149623942,0,112.373742492
121.226803353,-106.005986904,0,112.381560438
120.756985785,-104.865082001,0,112.382878862
120.288252719,-103.726885089,0,112.377651551
119.820746079,-102.591372024,0,112.36583083
119.354607791,-101.458518664,0,112.347367539
118.889979778,-100.328300865,0,112.322211005
118.427003967,-99.2006944829,0,112.290309016
117.965822281,-98.0756753743,0,112.251607803
117.506576646,-96.9532193959,0,112.206052014
117.049408987,-95.833302404,0,112.153584701
116.594461228,-94.7159002551,0,112.094147298
116.141875294,-93.6009888056,0,112.027679617
115.69179311,-92.4885439121,0,111.954119829
115.244356601,-91.378541431,0,111.87340446
114.799707692,-90.2709572188,0,111.785468386
114.357988307,-89.1657671319,0,111.690244834
113.919340372,-88.0629470267,0,111.58766538
113.483905811,-86.9624727598,0,111.477659961
113.051826549,-85.8643201877,0,111.360156882
112.623244511,-84.7684651667,0,111.235082832
112.198301622,-83.6748835533,0,111.102362903
111.777139806,-82.5835512041,0,110.961920618
111.359900989,-81.4944439754,0,110.813677958
110.946727095,-80.4075377237,0,110.6575554
110.53776005,-79.3228083055,0,110.49347196
110.133141777,-78.2402315773,0,110.321345241
109.733014203,-77.1597833955,0,110.141091493
109.337519251,-76.0814396166,0,109.952625671
108.946798846,-75.005176097,0,109.755861512
108.560994914,-73.9309686932,0,109.550711615
108.18024938,-72.8587932617,0,109.33708753
107.804704167,-71.7886256589,0,109.114899855
107.434501201,-70.7204417414,0,108.884058353
107.069782407,-69.6542173654,0,108.644472066
106.71068971,-68.5899283876,0,108.396049447
106.357365034,-67.5275506644,0,108.13869851
106.009950305,-66.4670600522,0,107.872326979
105.668587446,-65.4084324076,0,107.596842465
105.333418384,-64.3516435869,0,107.312152644
105.004585043,-63.2966694467,0,107.018165457
104.682229347,-62.2434858433,0,106.714789327
104.366493222,-61.1920686333,0,106.401933383
104.057518592,-60.1423936732,0,106.079507707
103.755447382,-59.0944368193,0,105.747423597
103.460421518,-58.0481739282,0,105.405593848
103.172582923,-57.0035808563,0,105.053933045
102.892073523,-55.9606334601,0,104.692357884
102.619035243,-54.919307596,0,104.3207875
102.353610007,-53.8795791205,0,103.939143828
102.095939741,-52.8414238901,0,103.547351968
101.846166369,-51.8048177612,0,103.145340581
101.604431815,-50.7697365903,0,102.733042296
101.370878006,-49.7361562339,0,102.310394143
101.145646865,-48.7040525484,0,101.877337999
100.928880318,-47.6734013903,0,101.433821054
100.720720289,-46.644178616,0,100.979796294
100.521308704,-45.616360082,0,100.515223005
100.330787486,-44.5899216448,0,100.040067282
100.149298562,-43.5648391609,0,99.5543025651
99.9769838548,-42.5410884866,0,99.0579101793
99.8139852906,-41.5186454785,0,98.5508798871
99.6604447938,-40.497485993,0,98.033210451
99.5165042894,-39.4775858867,0,97.5049102022
99.3823057021,-38.4589210158,0,96.9659976111
99.2579909568,-37.441467237,0,96.4165018605
99.1437019783,-36.4252004067,0,95.8564634146
99.0395806915,-35.4100963812,0,95.2859345819
98.9457690212,-34.3961310172,0,94.7049800687
98.8624088923,-33.3832801711,0,94.1136775168
98.7896422296,-32.3715196993,0,93.5121180235
98.727610958,-31.3608254583,0,92.900406637
98.6764570023,-30.3511733045,0,92.2786628241
98.6363222873,-29.3425390945,0,91.6470209032
98.607348738,-28.3348986846,0,91.0056304395
98.5896782791,-27.3282279314,0,90.3546565953
98.5834528355,-26.3225026913,0,89.6942804304
98.588814332,-25.3176988208,0,89.0246991482
98.6059046935,-24.3137921763,0,88.3461262815
98.6348658448,-23.3107586143,0,87.6587918124
